Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%),PM2.5/NO2 Ratio,Pollution Category,Depression Change (%),Anxiety Change (%)
Ireland,2017,7.332857142857143,12.31,14.04875,4.250921,5.839092,0.5219579779594016,Low,-0.018526999999999738,0.002340000000000231
Italy,2010,20.088117647058823,27.55427118644068,27.788501362397817,3.455801,5.632361,0.7228931630779192,Medium,,
Italy,2013,18.26977777777778,25.558449612403106,24.80948275862069,3.454904,5.632414,0.7364030099107761,Medium,-0.0008970000000001477,5.2999999999414626e-05
Italy,2014,16.104313725490197,23.50847517730497,22.90990322580645,3.456543,5.631731,0.7029411502423887,Medium,0.001638999999999946,-0.0006829999999995451
Italy,2015,18.68425414364641,26.739369369369367,23.551280653950958,3.458618,5.630367,0.793343445657251,Medium,0.002075000000000049,-0.001364000000000587
Italy,2016,16.37331550802139,23.637455621301772,21.959666666666667,3.459977,5.628456,0.7456085630331997,Medium,0.001358999999999888,-0.001910999999999774
Italy,2017,17.186587677725118,25.14640668523677,21.84913366336633,3.464256,5.626121,0.7866027066574847,Medium,0.004278999999999922,-0.002334999999999532
Kuwait,2015,63.93333333333334,138.23181818181817,56.026363636363634,3.598983,4.933717,1.1411294466349717,High,,
Kuwait,2016,35.09166666666667,116.42923076923076,55.67428571428572,3.616657,4.951041,0.6303029525471278,Medium,0.017673999999999968,0.01732400000000034
Kuwait,2017,65.986,147.10500000000002,36.47,3.635679,4.967279,1.8093227310117908,High,0.019022000000000094,0.01623800000000042
Latvia,2010,21.49,26.0725,34.62,3.503259,2.943551,0.6207394569612941,Medium,,
Latvia,2013,14.1,21.551666666666662,17.582,3.493617,2.943858,0.8019565464679785,Medium,-0.009641999999999928,0.00030700000000027927
Latvia,2014,16.716,24.836,16.704,3.493358,2.943887,1.0007183908045978,Medium,-0.0002589999999997872,2.9000000000056758e-05
Latvia,2015,16.195,21.222,15.712,3.493756,2.944219,1.03074083503055,Medium,0.0003979999999996764,0.0003319999999997769
Latvia,2016,13.797999999999998,19.234,13.074000000000002,3.49462,2.944511,1.0553770842894292,Medium,0.0008639999999999759,0.00029199999999995896
Latvia,2017,12.712,18.138,12.11,3.499571,2.94495,1.0497109826589595,Medium,0.00495100000000015,0.0004390000000000782
Lebanon,2014,27.0,41.75,59.0,3.751703,6.070856,0.4576271186440678,Medium,,
Lebanon,2015,15.0,43.0,47.0,3.728943,6.073276,0.3191489361702128,Medium,-0.02275999999999989,0.0024199999999998667
Lithuania,2010,15.856666666666667,28.16111111111111,14.183333333333334,4.21008,2.922035,1.117978848413631,Medium,,
Lithuania,2013,15.086000000000002,28.814,14.753333333333334,4.176505,2.926594,1.0225485765928606,Medium,-0.03357499999999991,0.00455899999999998
Lithuania,2014,14.29,26.693125,13.906666666666666,4.168826,2.928742,1.0275647171620326,Medium,-0.007678999999999547,0.0021480000000000388
Lithuania,2015,12.48,23.0525,13.650666666666666,4.158024,2.931244,0.9142410627075601,Medium,-0.010801999999999978,0.002501999999999782
Lithuania,2016,11.041666666666666,21.219375,14.313999999999998,4.150702,2.93414,0.7713893158213405,Low,-0.007322000000000273,0.0028960000000002317
Lithuania,2017,11.74,19.968888888888888,14.001,4.143254,2.937224,0.838511534890365,Low,-0.007448000000000121,0.0030839999999998646
Luxembourg,2010,14.073333333333332,19.126666666666665,23.734,3.634747,5.325033,0.5929608718856211,Medium,,
Luxembourg,2013,15.933333333333332,19.245,25.8275,3.618721,5.318464,0.6169134965960055,Medium,-0.016026000000000096,-0.006569000000000713
Luxembourg,2014,11.736666666666666,18.3175,20.12333333333333,3.616397,5.317404,0.5832367069736625,Low,-0.0023239999999997707,-0.0010599999999998388
Luxembourg,2015,11.583333333333334,19.4625,21.956666666666667,3.615115,5.316953,0.5275542735691514,Low,-0.0012820000000002274,-0.0004509999999999792
Luxembourg,2016,11.103333333333332,19.17,18.96,3.616485,5.316325,0.5856188466947959,Low,0.0013700000000000934,-0.0006279999999998509
Luxembourg,2017,9.84,18.4225,18.006,3.617719,5.316516,0.546484505164945,Low,0.0012340000000001794,0.00019100000000005224
Malta,2010,14.983333333333333,36.78333333333333,18.935,3.328033,5.318442,0.791303582431124,Medium,,
Malta,2013,13.21,30.203333333333333,17.555,3.333244,5.317038,0.7524921674736543,Medium,0.005211000000000077,-0.0014039999999999608
Malta,2014,12.12,29.44,8.615,3.339847,5.316904,1.4068485200232153,Medium,0.0066029999999996924,-0.0001340000000000785
Malta,2015,13.3125,29.80666666666667,17.476666666666667,3.347923,5.317005,0.7617299256151059,Medium,0.008076000000000416,0.00010099999999990672
Malta,2016,11.8725,33.17,17.802500000000002,3.359126,5.31739,0.6669007161915461,Low,0.01120299999999963,0.00038499999999963563
Malta,2017,11.64,26.935,18.32333333333333,3.374137,5.317984,0.6352555939603421,Low,0.01501100000000033,0.0005940000000004275
Mexico,2010,22.677142857142854,53.06583333333333,29.197142857142858,2.76109,3.1741,0.7766904785204031,Medium,,
Mexico,2011,26.82,57.78636363636363,26.89444444444445,2.759083,3.17583,0.9972319768642841,Medium,-0.00200699999999987,0.0017299999999997873
Mexico,2012,23.88272727272727,51.56470588235294,26.451818181818183,2.75936,3.177622,0.9028765852149705,Medium,0.00027700000000008274,0.0017920000000000158
